ID	Property	原文	英訳	絶対時間	Type	RDF用コメント	修正コメント	修正作業		
1	対象文	ホームズは椅子から立った	Holmes stood out of a chair					少し作業例を入れましたので，それらに倣って全体を見直してください（川村）		
1	情報源						赤字：松下			
1	hasPredicate	立つ	stand					「立った」→「立つ」		#ORG:hasPredicate:Stand
1	Who	ホームズ	Holmes		Person					
1	From	椅子	Chair		Object			Fromに変更、"から"トル		参考：Propertyの種類
1	When			1891-09-01T10			then 2?			参考：Propertyの種類
1	then	2	2							
2	対象文	ホームズは窓掛けの合わせ目の間に立った	Holmes stood between the windowed seams							対象文
2	情報源									情報源
2	hasPredicate	立つ	stand					「立った」→「立つ」		hasPredicate|hasProperty
3	Who	ホームズ	Holmes		Person					Why（なぜ）
3	Where	窓掛けの合わせ目の間	Between seams of window		Place	MOD	「窓掛けの合わせ目」は物体としては存在しないので「Object」ではない？			What（何を）
4	対象文	サザランドが向かいの舗道で襟巻きを巻いている	Sutherland wraps around on the opposite pavement							How（どのように）
4	情報源									When（いつ）
4	hasPredicate	巻いている	wrap							Where（どこで）
4	Who	サザランド	Sutherland		Person					From（どこから）
4	Where	向かいの舗道	Pavement opposite		Place					To（どこへ）
4	What	襟巻き	Scarf		Object					On
5	対象文	サザランドが帽子をかぶっている	Sutherland is wearing a hat							Under
5	情報源									Left
5	hasPredicate	かぶっている	wear							Right
5	Who	サザランド	Sutherland		Person					Near
5	What	帽子	hat		Object		at the same time 4?			NextTo
5	at the same time	4	4							
6	対象文	サザランドが赤い羽根をつけている	Sutherland has red feathers							MiddleOf
6	情報源									Opposite
6	hasPredicate	つけている	wear							then（値はID）
6	Who	サザランド	Sutherland		Person					if（値はID）
6	What	赤い羽根	Red feather		Object		at the same time 4?			because（値はID）
6	at the same time	4	4							
7	対象文	サザランドが立っている	Sutherland stands							therefore（値はID）
7	情報源									at the same time（値はID）
7	hasPredicate	立っている	stand							otherwise（値はID）
7	Who	サザランド	Sutherland		Person		at the same time 4?			after （値はID）
7	at the same time	4	4							
8	対象文	サザランドの視線が窓へ向けられている	Sutherland's gaze is directed at the window							
8	情報源									
8	hasPredicate	向けられている	beDirected		#ORG:hasPredicate:IsDirected					
8	What	サザランドの視線	gaze of Sutherland		Object	MOD	「Who->サザランドの視線」は変			
8	To	窓	window		Object			Toへ変更		
8	When	10	10			MOD				
10	対象文	サザランドが前後に動く	Sutherland moves back and forth							
10	情報源									
10	hasPredicate	動く	move		#ORG:hasPredicate:Move					
10	Who	サザランド	Sutherland		Person					
10	How	前後に	Back and forth					How		
11	対象文	サザランドは手袋の釦をいじっている	Sutherland is tinkering with the glove button							
11	情報源									
11	hasPredicate	いじっている	mess		#ORG:hasPredicate:Mess					
11	Who	サザランド	Sutherland		Person					
11	What	手袋の釦	button of Glove		Object	MOD	then 12?			
11	then	12	12			MOD				
12	対象文	サザランドは道を飛び出す	Sutherland jumps the road							
12	情報源									
12	hasPredicate	飛び出す	jumpOut		#ORG:hasPredicate:JumpOut					
12	Who	サザランド	Sutherland		Person					
12	From	道	road		Object		then 13?	From		
12	then	13	13			MOD				
13	対象文	サザランドは道を渡る	Sutherland crosses the way							
13	情報源									
13	hasPredicate	渡る	cross		#ORG:hasPredicate:Cross					
13	Who	サザランド	Sutherland		Person					
13	What	道	road		Object					
14	対象文	ホームズは呼び鈴を聞く	Holmes hears a call bell							
14	情報源									
14	hasPredicate	聞く	listen							
14	Who	ホームズ	Holmes		Person					
14	What	呼び鈴	bell		Object					
15	対象文	ホームズは以下を言った	Holmes said the following							
15	情報源									
15	hasPredicate	言う	say					「言った」→「言う」		#ORG:hasPredicate:Say
15	Who	ホームズ	Holmes		Person					
15	What	16-21	16,17,18,19,20,21		Object		ハイフンでの範囲指定についてRDF化スクリプトで対応が必要？	以下や上記は文番号に変える（複数の場合あり）．対応する文に情報源を入れる		
16	対象文	今の素振りは以前にもあった	The present movement has been before				Remark by Holmes (以下同様のもの全て)			
16	情報源	ホームズの発言	Remark by Holmes					ホームズの発言		
16	hasPredicate	ある	exist					「あった」→「ある」		
16	What	今の素振り	The present swing		Object		「who->今の素振り」は変			
16	When	以前	Before				居間の素振り->対応するIDに変更？			
17	対象文	女性が舗道でそわそわする	Women are thrilled at the pavement							
17	情報源	ホームズの発言	Remark by Holmes					ホームズの発言		
17	hasPredicate	そわそわする	feelRestless		#ORG:hasPredicate:FeelRestless					
17	Who	女性	Woman		Person					
17	Where	舗道	pavement		Object		Place?			
18	対象文	上記は色恋沙汰である	The above is color love Saya							
18	情報源	ホームズの発言	Remark by Holmes					ホームズの発言		
18	hasPredicate	である	equalsTo			MOD				
18	Who	17	17				whoに変更？	IDに変更		
18	What	色恋沙汰	Romance			MOD				
19	対象文	サザランドは助言を欲しい	Sutherland wants advice							
19	情報源	ホームズの発言	Remark by Holmes					ホームズの発言		
19	hasPredicate	欲しい	want		#ORG:hasPredicate:Want					
19	Who	サザランド	Sutherland		Person					
19	What	助言	advice		Object					
20	対象文	サザランドは以下を悩んでいる	Sutherland suffers from							
20	情報源	ホームズの発言	Remark by Holmes					ホームズの発言		
20	hasPredicate	悩んでいる	beWorried		#ORG:hasPredicate:Worried					
20	Who	サザランド	Sutherland		Person					
20	What	21	21		Object			IDに変更		
21	対象文	サザランドは人に相談したい	Sutherland wants to consult people							
21	情報源	ホームズの発言	Remark by Holmes					ホームズの発言		
21	hasPredicate	相談したい	wantToTalk							
21	Who	サザランド	Sutherland		Person					
21	Whom	人	Someone		Object		Someone?	Whom		
22	対象文	ホームズは以下をわかった	Holmes found that							
22	情報源									
22	hasPredicate	わかる	recognize					「わかった」→「わかる」		#ORG:hasPredicate:Recognize
22	Who	ホームズ	Holmes		Person					
22	What	23-30	23,24,25,26,27,28,29,30		Object					
23	対象文	女性は男からひどい目に遭う	Women encounter awful eyes from men							
23	情報源	ホームズの発言	Remark by Holmes					ホームズの発言		
23	hasPredicate	遭う	encounter		#ORG:hasPredicate:Encounter					
23	Who	女性	Woman		Person					
23	From	男	Man		Person			From		
23	What	ひどい目に	Terrible things		Object					
24	対象文	女性はためらわない	Women do not hesitate				「女性は以下をためらわない」に変更し、			
24	情報源	ホームズの発言	Remark by Holmes				以下をWhat 25?	ホームズの発言		
24	hasPredicate	ためらわない	notHesitate				IF 23?		#ORG:hasPredicate:NotHesitate	
24	Who	女性	Woman		Person					
24	What	25	25							
25	対象文	女性は呼び鈴の紐を引きちぎる	Woman tears off the string of the doorbell							
25	情報源	ホームズの発言	Remark by Holmes					ホームズの発言		
25	hasPredicate	引きちぎる	tearOff		#ORG:hasPredicate:TearOff					
25	Who	女性	Woman		Person					
25	What	呼び鈴の紐	string of bell		Object	MOD				
26	対象文	解釈は色恋沙汰である	Interpretation is color love Saya				「ホームズは以下を解釈した？」			
26	情報源	ホームズの発言	Remark by Holmes				以下をWhat 18?	ホームズの発言		
26	hasProperty	である	equalsTo		#ORG:hasProperty:isRomance	MOD				
26	What	色恋沙汰	romance			MOD				
26	Who	ホームズの推測	estimation of Holmes		Object	MOD	「who->解釈」は変			
26	Why	27,28,29,30	27,28,29,30			MOD				
27	対象文	女性は怒っていない	The woman is not angry							
27	情報源	ホームズの発言	Remark by Holmes					ホームズの発言		
27	hasProperty	怒っていない	notAngry		#ORG:hasPredicate:Not angry					
27	Who	女性	Woman		Person					
28	対象文	女性は戸惑っている	Women are puzzled							
28	情報源	ホームズの発言	Remark by Holmes					ホームズの発言		
28	hasPredicate	戸惑っている	puzzled		#ORG:hasPredicate:Puzzled					
28	Who	女性	Woman		Person					
29	対象文	女性は悲嘆に暮れている	The woman is in distress							
29	情報源	ホームズの発言	Remark by Holmes					ホームズの発言		
29	hasProperty	悲嘆に暮れている	dead		#ORG:hasPredicate:inDistress					
29	Who	女性	Woman		Person					
30	対象文	女性の悩みはすぐに解ける	Women's troubles can be solved quickly							
30	情報源	ホームズの発言	Remark by Holmes					ホームズの発言		
30	hasPredicate	解ける	canSolve		#ORG:hasPredicate:EnableSolve					
30	Who	女性の悩み	trouble of Women		Object	MOD	「who->女性の悩み」は変			
30	How	すぐに	Immediately					Howに変更		
31	対象文	部屋の扉が叩かれる	The door of the room is struck							
31	情報源						then 32?			
31	hasPredicate	叩かれる	beBeaten				beBeaten? 以降も受動態はbe~		#ORG:hasPredicate:IsBeaten	
31	What	部屋の扉	door of Room of Holmes		Object	MOD	「who->部屋の扉」は変			
31	then	32	32							
32	対象文	給仕服の少年が入ってきた	A boy in charge of service came in							
32	情報源									
32	hasPredicate	入ってくる	comeIn				then 33?	「入ってきた」→「入ってくる」		#ORG:hasPredicate:Come in
32	Who	給仕服の少年	Boy		Person	MOD	typeはpersonだと思われる			
32	then	33	33							
33	対象文	給仕服の少年が告げる	A boy at the service uniform tells Sutherland							
33	情報源						2文に分ける？			
33	hasPredicate	告げる	tell				少年はホームズに以下を告げる/女はサザランドである		#ORG:hasPredicate:Tell	
33	What	33-1	33-1							
33	Who	給仕服の少年	Service Boy							
33-1	対象文	女がサザランドである	A boy at the service uniform tells Sutherland							
33-1	情報源						2文に分ける？			
33-1	hasPredicate	告げる	tell				少年はホームズに以下を告げる/女はサザランドである		#ORG:hasPredicate:Is	
33-1	Who	Woman	Woman		Person		typeはPersonだと思われる			
33-1	Whom	サザランド	Sutherland		Person		then 34?			
33-1	then	34	34							
34	対象文	サザランドが現れる	Sutherland appears							
34	情報源									
