	正解数	総数	割合
主語	442	549	0.8051001821493625
述語	292	536	0.5318761384335154
目的語	330	486	0.6790123456790124
全単語	1064	1571	0.6772756206238065
全場面	186	580	0.32068965517241377
Why	2	6	0.3333333333333333
What	176	405	0.4345679012345679
How	8	22	0.36363636363636365
When	24	48	0.5
Where	37	49	0.7551020408163265
Whom	48	52	0.9230769230769231
From	14	15	0.9333333333333333
To	17	19	0.8947368421052632
On	4	8	0.5
Under	0	0	該当なし
Left	0	0	該当なし
Right	0	0	該当なし
Near	0	0	該当なし
NextTo	0	0	該当なし
MiddleOf	0	0	該当なし
Opposite	0	0	該当なし
hasProperty	67	85	0.788235294117647
hasPredicate	225	446	0.5044843049327354
