ID	Property	原文	正誤判定	正解Propertyの詳細	場面内の主語	場面内の述語	場面内の目的語
1	対象文	1897年の冬、私は起こされた			×	〇	×
1	Who	私	False		×	〇	×
1	hasPredicate	起こされた	True	hasPredicate	×	〇	×
1	Obj	1897年の冬、	False	判別不能	×	〇	×
2	対象文	ホームズはポケットから手紙を引っ張り出した			〇	〇	〇
2	Who	ホームズ	True		〇	〇	〇
2	hasPredicate	引っ張り出した	True	hasPredicate	〇	〇	〇
2	Obj	ポケット	True	Where	〇	〇	〇
2	Obj	手紙	True	What	〇	〇	〇
3	対象文	ホームズは手紙を音読した			〇	〇	〇
3	Who	ホームズ	True		〇	〇	〇
3	hasPredicate	音読した	True	hasPredicate	〇	〇	〇
3	Obj	手紙	True	What	〇	〇	〇
4	対象文	きわめて驚くべき事件になりそうです			×	×	×
4	Who		False		×	×	×
4	hasPredicate	なりそうです	False		×	×	×
4	Obj	きわめて驚くべき事件	False	判別不能	×	×	×
5	対象文	スタンリィ・ホプキンスがホームズに助力を頼む			×	×	×
5	Who	スタンリィ・ホプキンス	False		×	×	×
5	hasPredicate	頼む	False		×	×	×
5	Obj	ホームズ	False	判別不能	×	×	×
5	Obj	助力	False	判別不能	×	×	×
6	対象文	奥方を解放したほかは、すべて私が発見したままに保たれている			×	×	×
6	Who		False		×	×	×
6	hasPredicate	すべて私が発見したままに保たれている	False		×	×	×
6	Obj	奥方を解放したほかは、	False	判別不能	×	×	×
6	Obj	私が発見したまま	False	判別不能	×	×	×
7	対象文	サー・ユースタス・ブラックンストールをそのまま置いておけない			×	×	△
7	Who		False		×	×	△
7	hasPredicate	置いておけない	False		×	×	△
7	Obj	サー・ユースタス・ブラックンストール	True	What	×	×	△
7	Obj	そのまま	False	判別不能	×	×	△
8	対象文	ホームズは言った			〇	〇	無
8	Who	ホームズ	True		〇	〇	無
8	hasPredicate	言った	True	hasPredicate	〇	〇	無
9	対象文	今日の研究は殺人事件らしいね			×	×	無
9	Who	今日の研究	False		×	×	無
9	hasPredicate	殺人事件らしいね	False		×	×	無
10	対象文	このサー・ユースタス・ブラックンストールが死んだと考えるんだね？			×	×	無
10	Who		False		×	×	無
10	hasPredicate	このサー・ユースタス・ブラックンストールが死んだと考えるんだね？	False		×	×	無
11	対象文	ユースタスが自殺である			×	〇	無
11	Who	ユースタス	False		×	〇	無
11	hasPredicate	自殺である	True	hasPredicate	×	〇	無
12	対象文	単なる自殺ではスタンリィ・ホプキンスがホームズに使いを出すことはない			〇	×	△
12	Who	スタンリィ・ホプキンス	True		〇	×	△
12	hasPredicate	出すことはない	False		〇	×	△
12	Obj	単なる自殺で	False	判別不能	〇	×	△
12	Obj	ホームズ	True	What	〇	×	△
12	Obj	使い	False	判別不能	〇	×	△
13	対象文	奥方は惨事の間部屋に監禁されていた			〇	〇	△
13	Who	奥方	True		〇	〇	△
13	hasPredicate	監禁されていた	True	hasProperty	〇	〇	△
13	Obj	惨事の間	True	When	〇	〇	△
13	Obj	部屋	False	判別不能	〇	〇	△
14	対象文	スタンリィ・ホプキンスは地元の警察を呼ぶ必要がある			〇	×	無
14	Who	スタンリィ・ホプキンス	True		〇	×	無
14	hasPredicate	地元の警察を呼ぶ必要がある	False		〇	×	無
15	対象文	スタンリィ・ホプキンスはスコットランドヤードに連絡する必要がある			〇	×	無
15	Who	スタンリィ・ホプキンス	True		〇	×	無
15	hasPredicate	スコットランドヤードに連絡する必要がある	False		〇	×	無
16	対象文	スタンリィ・ホプキンスは出かける必要がある			〇	×	無
16	Who	スタンリィ・ホプキンス	True		〇	×	無
16	hasPredicate	出かける必要がある	False		〇	×	無
17	対象文	スタンリィ・ホプキンスはホームズに使いを出す必要がある			〇	×	無
17	Who	スタンリィ・ホプキンス	True		〇	×	無
17	hasPredicate	ホームズに使いを出す必要がある	False		〇	×	無
18	対象文	全て済ますには一晩かかる			×	×	無
18	Who		False		×	×	無
18	hasPredicate	全て済ますには一晩かかる	False		×	×	無
