	正解数	総数	割合
主語	264	384	0.6875
述語	203	366	0.5286458333333334
目的語	129	354	0.3644067796610169
全単語	596	1104	0.5398550724637681
全場面	79	359	0.2200557103064067
Why	0	43	0.0
What	71	193	0.36787564766839376
How	4	23	0.17391304347826086
When	14	46	0.30434782608695654
Where	36	62	0.5806451612903226
Whom	0	0	該当なし
From	1	2	0.5
To	2	3	0.6666666666666666
On	0	6	0.0
Under	0	1	0.0
Left	0	1	0.0
Right	0	1	0.0
Near	0	5	0.0
NextTo	0	0	該当なし
MiddleOf	0	0	該当なし
Opposite	0	1	0.0
hasProperty	59	128	0.4609375
hasPredicate	144	243	0.5925925925925926
