ID	Property	原文	英訳	絶対時間	Type	RDF用コメント	修正コメント	
1	対象文	23時45分に、ホームズはワトソンを訪れた	"At 23:45, Holmes visited Watson."					
1	情報源							
1	hasPredicate	訪れた	visit					
1	When	23時45分	23:45	1887-07-08T23:45:00				
1	Who	ホームズ	Holmes		Person			参考：Propertyの種類
1	What	ワトソン	Watson		Person			対象文
1	then	2	2					
2	対象文	ホームズはワトソンに以下を頼んだ	Holmes asked Watson.					情報源
2	情報源							hasPredicate|hasProperty
2	hasPredicate	頼んだ	visit					Why（なぜ）
2	Who	ホームズ	Holmes		Person			What（何を）
2	Whom	ワトソン	Watson		Person			How（どのように）
2	What	3	3					When（いつ）
3	対象文	ワトソンはホームズについていく	"
Watson will follow Holmes."					Where（どこで）
3	情報源							From（どこから）
3	hasPredicate	ついていく	follow					To（どこへ）
3	Who	ワトソン	Watson		Person			On
3	What	ホームズ	Holmes		Person			Under
4	対象文	木曜日11時10分に、ホームズとワトソンは、ウォータールーからオールダショットへ行く	"On Thursday at 11:10, Holmes and Watson go from Waterloo to Aldershot."					Left
4	情報源							Right
4	hasPredicate	行く	go					Near
4	Who	ホームズとワトソン	Holmes AND Watson		Person			NextTo
4	From	ウォータールー	Waterloo		Place			then（値はID）
4	To	オールダショット	Aldershot		Place			if（値はID）
4	When	木曜日11時10分	On Thursday at 11:10	1887-07-09T11:10:00				because（値はID）
5	対象文	ホームズは以下を調べている	Holmes is examining.					therefore（値はID）
5	情報源							at the same time（値はID）
5	hasPredicate	調べている	examine					otherwise（値はID）
5	Who	ホームズ	Holmes		Person			whom (誰に)
5	What	6	6					
6	対象文	バークリが殺された	Berkeley was killed.					
6	情報源							
6	hasPredicate	殺された	beKilled					
6	Who	バークリ	Berkeley		Person			
7	対象文	バークリはオールダショットのロイヤル・マロウズに所属している	Berkeley belongs to the Royal Mallows of Aldershot.					
7	情報源							
7	hasPredicate	所属している	belong					
7	Who	バークリ	Berkeley		Person			
7	What	ロイヤル・マロウズ	Royal Mallows		Object			
7	Where	オールダショット	Aldershot		Place			
8	対象文	月曜日に、事件は起こった	The incident happened on Monday.					
8	情報源							
8	hasPredicate	起こった	happen					
8	Who	事件	incident		Object			
