ID	Property	原文	正誤判定	正解Propertyの詳細	場面内の主語	場面内の述語	場面内の目的語
1	対象文	踊る人形が紙に書かれていた			〇	〇	〇
1	Who	踊る人形	True		〇	〇	〇
1	hasPredicate	書かれていた	True	hasProperty	〇	〇	〇
1	Obj	紙	True	On	〇	〇	〇
2	対象文	キュービットは文字の意味を知りたい			〇	〇	〇
2	Who	キュービット	True		〇	〇	〇
2	hasPredicate	知りたい	True	hasPredicate	〇	〇	〇
2	Obj	文字の意味	True	What	〇	〇	〇
3	対象文	キュービットの背は高い			×	〇	無
3	Who	キュービットの背	False		×	〇	無
3	hasPredicate	高い	True	hasProperty	×	〇	無
4	対象文	キュービットは紳士である			〇	〇	無
4	Who	キュービット	True		〇	〇	無
4	hasPredicate	紳士である	True	hasProperty	〇	〇	無
5	対象文	人形が紙の上で踊っている			〇	〇	×
5	Who	人形	True		〇	〇	×
5	hasPredicate	踊っている	True	hasPredicate	〇	〇	×
5	Obj	紙の上	False	判別不能	〇	〇	×
6	対象文	エルシィは文字を見た			〇	〇	〇
6	Who	エルシィ	True		〇	〇	〇
6	hasPredicate	見た	True	hasPredicate	〇	〇	〇
6	Obj	文字	True	What	〇	〇	〇
7	対象文	そして，エルシィは卒倒した			〇	×	無
7	Who	エルシィ	True		〇	×	無
7	hasPredicate	そして，エルシィは卒倒した	False		〇	×	無
8	対象文	踊る人形aが鉛筆で描かれていた			〇	〇	〇
8	Who	踊る人形a	True		〇	〇	〇
8	hasPredicate	描かれていた	True	hasProperty	〇	〇	〇
8	Obj	鉛筆	True	How	〇	〇	〇
9	対象文	キュービットは昨年，結婚した			〇	×	無
9	Who	キュービット	True		〇	×	無
9	hasPredicate	昨年，結婚した	False		〇	×	無
10	対象文	キュービットはノーフォーク州の旧家である			〇	×	無
10	Who	キュービット	True		〇	×	無
10	hasPredicate	ノーフォーク州の旧家である	False		〇	×	無
11	対象文	エルシィはアメリカ人である			〇	〇	無
11	Who	エルシィ	True		〇	〇	無
11	hasPredicate	アメリカ人である	True	hasProperty	〇	〇	無
13	対象文	キュービットとエルシィはノーフォーク州に住んでいる			〇	〇	〇
13	Who	キュービット	True		〇	〇	〇
13	Who	エルシィ	True		〇	〇	〇
13	hasPredicate	住んでいる	True	hasPredicate	〇	〇	〇
13	Obj	ノーフォーク州	True	Where	〇	〇	〇
14	対象文	キュービットはエルシィの過去を知らない			〇	〇	〇
14	Who	キュービット	True		〇	〇	〇
14	hasPredicate	知らない	True	hasPredicate	〇	〇	〇
14	Obj	エルシィの過去	True	What	〇	〇	〇
15	対象文	キュービットは以下を言った			〇	〇	×
15	Who	キュービット	True		〇	〇	×
15	hasPredicate	言った	True	hasPredicate	〇	〇	×
15	Obj	以下	False	判別不能	〇	〇	×
16	対象文	エルシィは真面目である			〇	〇	無
16	Who	エルシィ	True		〇	〇	無
16	hasPredicate	真面目である	True	hasProperty	〇	〇	無
17	対象文	エルシィは嫌な思い出を持つ			〇	〇	〇
17	Who	エルシィ	True		〇	〇	〇
17	hasPredicate	持つ	True	hasPredicate	〇	〇	〇
17	Obj	嫌な思い出	True	What	〇	〇	〇
18	対象文	エルシィは思い出を言わない			〇	〇	〇
18	Who	エルシィ	True		〇	〇	〇
18	hasPredicate	言わない	True	hasPredicate	〇	〇	〇
18	Obj	思い出	True	What	〇	〇	〇
19	対象文	キュービットは6月の末に災いの兆しを見た			〇	〇	△
19	Who	キュービット	True		〇	〇	△
19	hasPredicate	見た	True	hasPredicate	〇	〇	△
19	Obj	6月の末	False	判別不能	〇	〇	△
19	Obj	災いの兆し	True	What	〇	〇	△
20	対象文	エルシィはアメリカの手紙を受け取った			〇	〇	×
20	Who	エルシィ	True		〇	〇	×
20	hasPredicate	受け取った	True	hasPredicate	〇	〇	×
20	Obj	アメリカの手紙	False	判別不能	〇	〇	×
21	対象文	手紙はアメリカの消印を持っていた			〇	〇	〇
21	Who	手紙	True		〇	〇	〇
21	hasPredicate	持っていた	True	hasPredicate	〇	〇	〇
21	Obj	アメリカの消印	True	What	〇	〇	〇
22	対象文	エルシィの顔は真っ青だった			〇	〇	無
22	Who	エルシィの顔	True		〇	〇	無
22	hasPredicate	真っ青だった	True	hasProperty	〇	〇	無
23	対象文	エルシィは手紙を読んだ			〇	〇	〇
23	Who	エルシィ	True		〇	〇	〇
23	hasPredicate	読んだ	True	hasPredicate	〇	〇	〇
23	Obj	手紙	True	What	〇	〇	〇
24	対象文	エルシィは暖炉に手紙を入れた			〇	〇	〇
24	Who	エルシィ	True		〇	〇	〇
24	hasPredicate	入れた	True	hasPredicate	〇	〇	〇
24	Obj	暖炉	True	To	〇	〇	〇
24	Obj	手紙	True	What	〇	〇	〇
25	対象文	エルシィは黙っている			〇	〇	無
25	Who	エルシィ	True		〇	〇	無
25	hasPredicate	黙っている	True	hasPredicate	〇	〇	無
26	対象文	キュービットは約束に従った			〇	〇	〇
26	Who	キュービット	True		〇	〇	〇
26	hasPredicate	従った	True	hasPredicate	〇	〇	〇
26	Obj	約束	True	What	〇	〇	〇
27	対象文	キュービットは黙っている			〇	〇	無
27	Who	キュービット	True		〇	〇	無
27	hasPredicate	黙っている	True	hasPredicate	〇	〇	無
28	対象文	キュービットは先週の火曜日、ガラス窓に踊る人形を見た			〇	〇	×
28	Who	キュービット	True		〇	〇	×
28	hasPredicate	見た	True	hasPredicate	〇	〇	×
28	Obj	先週の火曜日、	False	判別不能	〇	〇	×
28	Obj	ガラス窓に踊る人形	False	判別不能	〇	〇	×
29	対象文	キュービットは以下を思った			〇	〇	×
29	Who	キュービット	True		〇	〇	×
29	hasPredicate	思った	True	hasPredicate	〇	〇	×
29	Obj	以下	False	判別不能	〇	〇	×
30	対象文	馬番の少年が踊る人形を描いた			×	〇	×
30	Who		False		×	〇	×
30	hasPredicate	描いた	True	hasPredicate	×	〇	×
30	Obj	馬番の少年が踊る人形	False	判別不能	×	〇	×
31	対象文	馬番の少年は以下を言った			〇	〇	×
31	Who	馬番の少年	True		〇	〇	×
31	hasPredicate	言った	True	hasPredicate	〇	〇	×
31	Obj	以下	False	判別不能	〇	〇	×
32	対象文	馬番の少年は踊る人形を知らない			〇	〇	〇
32	Who	馬番の少年	True		〇	〇	〇
32	hasPredicate	知らない	True	hasPredicate	〇	〇	〇
32	Obj	踊る人形	True	What	〇	〇	〇
33	対象文	踊る人形は夜に描かれた			〇	〇	〇
