	正解数	総数	割合
主語	198	220	0.9
述語	167	210	0.759090909090909
目的語	134	198	0.6767676767676768
全単語	499	628	0.7945859872611465
全場面	104	228	0.45614035087719296
Why	1	2	0.5
What	56	115	0.48695652173913045
How	7	11	0.6363636363636364
When	10	23	0.43478260869565216
Where	19	34	0.5588235294117647
Whom	17	22	0.7727272727272727
From	10	15	0.6666666666666666
To	12	13	0.9230769230769231
On	2	9	0.2222222222222222
Under	0	2	0.0
Left	0	1	0.0
Right	0	1	0.0
Near	0	0	該当なし
NextTo	0	1	0.0
MiddleOf	0	4	0.0
Opposite	0	1	0.0
hasProperty	26	31	0.8387096774193549
hasPredicate	141	178	0.7921348314606742
