ID	Property	原文	英訳	絶対時間	Type	RDF用コメント	修正コメント	修正作業
1	対象文	1897年早春、ホームズとワトソンはポルデュー湾のコテージにいた	In the early spring of 1897, Holmes and Watson were in a cottage in the Pordeux Bay					少し作業例を入れましたので，それらに倣って全体を見直してください（川村）
1	情報源							
1	hasPredicate	いた	stay					
1	Who	ホームズ	Holmes		Person			とトル
1	Who	ワトソン	Watson		Person			
1	Where	ポルデュー湾のコテージ	cottage of Pordeux Bay		Place	MOD	「に」は不要	
1	When	1897年早春	Early spring of 1897	1897-03-01T07				
2	対象文	ラウンドヘイは中年男だ	Roundhay is a middle age man					
2	情報源							
2	hasPredicate	である	equalTo					
2	What	中年男	Middle-aged man					
2	Who	ラウンドヘイ	Roundhay		Person		Roundhay？	
3	対象文	ラウンドヘイは社交的だ	Roundhay is sociable					
3	情報源							
3	hasProperty	社交的だ	sociable					
3	Who	ラウンドヘイ	Roundhay					
4	対象文	ラウンドヘイは愛想がよい	Roundhay is friendly					
4	情報源							
4	hasProperty	愛想がよい	friendly					
4	Who	ラウンドヘイ	Roundhay					
5	対象文	ラウンドヘイは民間伝承の知識を持つ	Roundhay has the knowledge of folklore					
5	情報源							
5	hasPredicate	持つ	have					
5	Who	ラウンドヘイ	Roundhay					
5	What	民間伝承の知識	Knowledge of folklore					
6	対象文	モーティマーは財産を持っていた	Mortimer had possessions					
6	情報源							
6	hasPredicate	持つ	have					
6	Who	モーティマー	Mortimer					
6	What	財産	property					
7	対象文	モーティマーはラウンドヘイから牧師館の部屋を借りていた	Mortimer had rented a chaplain's room from Roundhay					
7	情報源							
7	hasPredicate	借りていた	rent					
7	Who	モーティマー	Mortimer					
7	From	ラウンドヘイ	Roundhay					From
7	What	牧師館の部屋	Room					
7	therefore	8	8					
8	対象文	そのため、ラウンドヘイはお金をもらっていた	Therefore, Roundhay was getting money					7にtherefore: 8を入れる
8	情報源							
8	hasPredicate	もらっていた	get					
8	Who	ラウンドヘイ	Roundhay					
8	What	お金	money					
8	From	モーティマー	Mortimer					
9	対象文	3月16日朝食直後に、ラウンドヘイとモーティマーがポルデュー湾のコテージに来た	Roundhay and Mortimer came to the Pordeux Bay cottages just after breakfast on March 16					
9	情報源							
9	hasPredicate	来た	come					
9	Who	ラウンドヘイ	Roundhay					
9	Who	モーティマー	Mortimer					
