ID	Property	原文	正誤判定	正解Propertyの詳細	場面内の主語	場面内の述語	場面内の目的語
1	対象文	1897年早春、ホームズとワトソンはポルデュー湾のコテージにいた			〇	〇	〇
1	Who	ホームズ	True		〇	〇	〇
1	Who	ワトソン	True		〇	〇	〇
1	hasPredicate	いた	True	hasPredicate	〇	〇	〇
1	Obj	1897年早春	True	When	〇	〇	〇
1	Obj	ポルデュー湾のコテージ	True	Where	〇	〇	〇
2	対象文	ラウンドヘイは中年男だ			〇	×	無
2	Who	ラウンドヘイ	True		〇	×	無
2	hasPredicate	中年男だ	False		〇	×	無
3	対象文	ラウンドヘイは社交的だ			〇	〇	無
3	Who	ラウンドヘイ	True		〇	〇	無
3	hasPredicate	社交的だ	True	hasProperty	〇	〇	無
4	対象文	ラウンドヘイは愛想がよい			〇	〇	無
4	Who	ラウンドヘイ	True		〇	〇	無
4	hasPredicate	愛想がよい	True	hasProperty	〇	〇	無
5	対象文	ラウンドヘイは民間伝承の知識を持つ			〇	〇	〇
5	Who	ラウンドヘイ	True		〇	〇	〇
5	hasPredicate	持つ	True	hasPredicate	〇	〇	〇
5	Obj	民間伝承の知識	True	What	〇	〇	〇
6	対象文	モーティマーは財産を持っていた			〇	×	〇
6	Who	モーティマー	True		〇	×	〇
6	hasPredicate	持っていた	False		〇	×	〇
6	Obj	財産	True	What	〇	×	〇
7	対象文	モーティマーはラウンドヘイから牧師館の部屋を借りていた			〇	〇	〇
7	Who	モーティマー	True		〇	〇	〇
7	hasPredicate	借りていた	True	hasPredicate	〇	〇	〇
7	Obj	ラウンドヘイ	True	From	〇	〇	〇
7	Obj	牧師館の部屋	True	What	〇	〇	〇
8	対象文	そのため、ラウンドヘイはお金をもらっていた			〇	〇	△
8	Who	ラウンドヘイ	True		〇	〇	△
8	hasPredicate	もらっていた	True	hasPredicate	〇	〇	△
8	Obj	そのため	False	判別不能	〇	〇	△
8	Obj	お金	True	What	〇	〇	△
9	対象文	3月16日朝食直後に、ラウンドヘイとモーティマーがポルデュー湾のコテージに来た			〇	〇	△
9	Who	ラウンドヘイ	True		〇	〇	△
9	Who	モーティマー	True		〇	〇	△
9	hasPredicate	来た	True	hasPredicate	〇	〇	△
9	Obj	3月16日朝食直後	True	When	〇	〇	△
9	Obj	ポルデュー湾のコテージ	False	判別不能	〇	〇	△
10	対象文	ラウンドヘイは動揺していた			〇	〇	無
10	Who	ラウンドヘイ	True		〇	〇	無
10	hasPredicate	動揺していた	True	hasPredicate	〇	〇	無
11	対象文	ラウンドヘイは以下を言った			〇	〇	×
11	Who	ラウンドヘイ	True		〇	〇	×
11	hasPredicate	言った	True	hasPredicate	〇	〇	×
11	Obj	以下	False	判別不能	〇	〇	×
12	対象文	昨日の夜に、事件が起きた			〇	〇	〇
12	Who	事件	True		〇	〇	〇
12	hasPredicate	起きた	True	hasPredicate	〇	〇	〇
12	Obj	昨日の夜	True	When	〇	〇	〇
13	対象文	事件は異常だ			〇	〇	無
13	Who	事件	True		〇	〇	無
13	hasPredicate	異常だ	True	hasProperty	〇	〇	無
14	対象文	事件は悲劇的だ			〇	〇	無
14	Who	事件	True		〇	〇	無
14	hasPredicate	悲劇的だ	True	hasProperty	〇	〇	無
15	対象文	ラウンドヘイとモーティマーは落ち着かなかった			〇	〇	無
15	Who	ラウンドヘイ	True		〇	〇	無
15	Who	モーティマー	True		〇	〇	無
15	hasPredicate	落ち着かなかった	True	hasPredicate	〇	〇	無
16	対象文	モーティマーはラウンドヘイに以下を尋ねた			〇	〇	△
16	Who	モーティマー	True		〇	〇	△
16	hasPredicate	尋ねた	True	hasPredicate	〇	〇	△
16	Obj	ラウンドヘイ	True	Whom	〇	〇	△
16	Obj	以下	False	判別不能	〇	〇	△
17	対象文	モーティマーが話をする			〇	〇	×
17	Who	モーティマー	True		〇	〇	×
17	hasPredicate	する	True	hasPredicate	〇	〇	×
17	Obj	話	False	判別不能	〇	〇	×
18	対象文	ホームズは以下を言った			〇	〇	×
18	Who	ホームズ	True		〇	〇	×
18	hasPredicate	言った	True	hasPredicate	〇	〇	×
18	Obj	以下	False	判別不能	〇	〇	×
19	対象文	モーティマーが第一発見者だった			〇	〇	無
19	Who	モーティマー	True		〇	〇	無
19	hasPredicate	第一発見者だった	True	hasProperty	〇	〇	無
20	対象文	ラウンドヘイに話を勧めた			×	〇	〇
20	Who		False		×	〇	〇
20	hasPredicate	勧めた	True	hasPredicate	×	〇	〇
20	Obj	ラウンドヘイ	True	Whom	×	〇	〇
20	Obj	話	True	What	×	〇	〇
21	対象文	ラウンドヘイは以下を言った			〇	〇	×
21	Who	ラウンドヘイ	True		〇	〇	×
21	hasPredicate	言った	True	hasPredicate	〇	〇	×
21	Obj	以下	False	判別不能	〇	〇	×
22	対象文	オーウェンとジョージとブレンダはモーティマーの家族である			〇	×	無
22	Who	オーウェン	True		〇	×	無
22	Who	ジョージ	True		〇	×	無
22	Who	ブレンダ	True		〇	×	無
22	hasPredicate	モーティマーの家族である	False		〇	×	無
23	対象文	トリジェニス家はトリダニック・ワーサにある			〇	〇	〇
23	Who	トリジェニス家	True		〇	〇	〇
23	hasPredicate	ある	True	hasPredicate	〇	〇	〇
23	Obj	トリダニック・ワーサ	True	Where	〇	〇	〇
24	対象文	10時過ぎで、モーティマーはトリジェニス家から帰った			〇	〇	△
24	Who	モーティマー	True		〇	〇	△
24	hasPredicate	帰った	True	hasPredicate	〇	〇	△
24	Obj	10時過ぎで	False	判別不能	〇	〇	△
24	Obj	トリジェニス家	True	From	〇	〇	△
25	対象文	10時過ぎで、オーウェンとジョージとブレンダはカードゲームをしていた			〇	〇	△
25	Who	オーウェン	True		〇	〇	△
25	Who	ジョージ	True		〇	〇	△
25	Who	ブレンダ	True		〇	〇	△
25	hasPredicate	していた	True	hasPredicate	〇	〇	△
25	Obj	10時過ぎで	False	判別不能	〇	〇	△
25	Obj	カードゲーム	True	What	〇	〇	△
26	対象文	10時過ぎで、オーウェンとジョージとブレンダは元気だった			〇	〇	×
26	Who	オーウェン	True		〇	〇	×
26	Who	ジョージ	True		〇	〇	×
26	Who	ブレンダ	True		〇	〇	×
26	hasPredicate	元気だった	True	hasPredicate	〇	〇	×
26	Obj	10時過ぎで	False	判別不能	〇	〇	×
27	対象文	今朝、モーティマーは早起きをした			〇	×	×
27	Who	モーティマー	True		〇	×	×
27	hasPredicate	今朝、モーティマーは早起きをした	False		〇	×	×
27	Obj	早起き	False	判別不能	〇	×	×
28	対象文	朝食前に、モーティマーはトリダニック・ワーサ方面へ散歩にいった			〇	×	△
28	Who	モーティマー	True		〇	×	△
28	hasPredicate	いった	False		〇	×	△
28	Obj	朝食前	True	When	〇	×	△
28	Obj	トリダニック・ワーサ方面	False	判別不能	〇	×	△
28	Obj	散歩	False	判別不能	〇	×	△
29	対象文	モーティマーはドクター・リチャードの四輪馬車に追いつかれた			〇	〇	×
29	Who	モーティマー	True		〇	〇	×
29	hasPredicate	追いつかれた	True	hasPredicate	〇	〇	×
29	Obj	ドクター・リチャードの四輪馬車	False	判別不能	〇	〇	×
30	対象文	モーティマーはドクター・リチャードに会った			〇	〇	〇
30	Who	モーティマー	True		〇	〇	〇
30	hasPredicate	会った	True	hasPredicate	〇	〇	〇
30	Obj	ドクター・リチャード	True	What	〇	〇	〇
31	対象文	ドクター・リチャードは緊急連絡を受けた			〇	〇	〇
31	Who	ドクター・リチャード	True		〇	〇	〇
31	hasPredicate	受けた	True	hasPredicate	〇	〇	〇
31	Obj	緊急連絡	True	What	〇	〇	〇
32	対象文	モーティマーとドクター・リチャードはトリダニック・ワーサに向かった			〇	〇	〇
32	Who	モーティマー	True		〇	〇	〇
32	Who	ドクター・リチャード	True		〇	〇	〇
32	hasPredicate	向かった	True	hasPredicate	〇	〇	〇
32	Obj	トリダニック・ワーサ	True	To	〇	〇	〇
33	対象文	モーティマーとドクター・リチャードはトリダニック・ワーサに到着した			〇	〇	〇
33	Who	モーティマー	True		〇	〇	〇
33	Who	ドクター・リチャード	True		〇	〇	〇
33	hasPredicate	到着した	True	hasPredicate	〇	〇	〇
33	Obj	トリダニック・ワーサ	True	Where	〇	〇	〇
34	対象文	トリジェニス家は異常だった			〇	〇	無
34	Who	トリジェニス家	True		〇	〇	無
34	hasPredicate	異常だった	True	hasProperty	〇	〇	無
35	対象文	オーウェンとジョージとブレンダはテーブルに座っていた			〇	〇	〇
35	Who	オーウェン	True		〇	〇	〇
35	Who	ジョージ	True		〇	〇	〇
35	Who	ブレンダ	True		〇	〇	〇
35	hasPredicate	座っていた	True	hasPredicate	〇	〇	〇
35	Obj	テーブル	True	On	〇	〇	〇
36	対象文	カードがテーブルの上にあった			〇	〇	×
36	Who	カード	True		〇	〇	×
36	hasPredicate	あった	True	hasPredicate	〇	〇	×
36	Obj	テーブルの上	False	判別不能	〇	〇	×
37	対象文	蝋燭は燃え尽きていた			〇	〇	無
37	Who	蝋燭	True		〇	〇	無
37	hasPredicate	燃え尽きていた	True	hasPredicate	〇	〇	無
38	対象文	ブレンダは椅子にもたれていた			〇	〇	〇
38	Who	ブレンダ	True		〇	〇	〇
38	hasPredicate	もたれていた	True	hasPredicate	〇	〇	〇
38	Obj	椅子	True	Where	〇	〇	〇
39	対象文	ブレンダは死んでいた			〇	〇	無
39	Who	ブレンダ	True		〇	〇	無
39	hasPredicate	死んでいた	True	hasProperty	〇	〇	無
40	対象文	ブレンダは硬直していた			〇	〇	無
40	Who	ブレンダ	True		〇	〇	無
40	hasPredicate	硬直していた	True	hasPredicate	〇	〇	無
41	対象文	オーウェンとジョージはブレンダの両脇に座っていた			〇	〇	〇
41	Who	オーウェン	True		〇	〇	〇
41	Who	ジョージ	True		〇	〇	〇
41	hasPredicate	座っていた	True	hasPredicate	〇	〇	〇
41	Obj	ブレンダの両脇	True	Where	〇	〇	〇
42	対象文	オーウェンとジョージは馬鹿笑いしていた			〇	〇	無
42	Who	オーウェン	True		〇	〇	無
42	Who	ジョージ	True		〇	〇	無
42	hasPredicate	馬鹿笑いしていた	True	hasPredicate	〇	〇	無
43	対象文	オーウェンとジョージは喚いていた			〇	〇	無
43	Who	オーウェン	True		〇	〇	無
43	Who	ジョージ	True		〇	〇	無
43	hasPredicate	喚いていた	True	hasPredicate	〇	〇	無
44	対象文	オーウェンとジョージは歌っていた			〇	〇	無
44	Who	オーウェン	True		〇	〇	無
44	Who	ジョージ	True		〇	〇	無
44	hasPredicate	歌っていた	True	hasPredicate	〇	〇	無
45	対象文	オーウェンとジョージの神経は損なわれていた			×	〇	無
45	Who	オーウェン	True		×	〇	無
45	Who	ジョージの神経	False		×	〇	無
45	hasPredicate	損なわれていた	True	hasPredicate	×	〇	無
46	対象文	オーウェンとジョージとブレンダは恐怖の表情を持っていた			〇	×	〇
46	Who	オーウェン	True		〇	×	〇
46	Who	ジョージ	True		〇	×	〇
46	Who	ブレンダ	True		〇	×	〇
