ID	Property	原文	正誤判定	正解Propertyの詳細	場面内の主語	場面内の述語	場面内の目的語
1	対象文	ホームズは以下を推測した			〇	〇	×
1	Who	ホームズ	True		〇	〇	×
1	hasPredicate	推測した	True	hasPredicate	〇	〇	×
1	Obj	以下	False	判別不能	〇	〇	×
2	対象文	パーシィ・トリヴェリアンは医者である。			〇	〇	無
2	Who	パーシィ・トリヴェリアン	True		〇	〇	無
2	hasPredicate	医者である	True	hasProperty	〇	〇	無
3	対象文	パーシィ・トリヴェリアンは開業してまもない			〇	〇	無
3	Who	パーシィ・トリヴェリアン	True		〇	〇	無
3	hasPredicate	開業してまもない	True	hasProperty	〇	〇	無
4	対象文	パーシィ・トリヴェリアンは儲かっている			〇	〇	無
4	Who	パーシィ・トリヴェリアン	True		〇	〇	無
4	hasPredicate	儲かっている	True	hasProperty	〇	〇	無
5	対象文	パーシィ・トリヴェリアンはホームズに相談したい			〇	〇	〇
5	Who	パーシィ・トリヴェリアン	True		〇	〇	〇
5	hasPredicate	相談したい	True	hasProperty	〇	〇	〇
5	Obj	ホームズ	True	To	〇	〇	〇
6	対象文	ワトソンは以下を推測した			〇	〇	×
6	Who	ワトソン	True		〇	〇	×
6	hasPredicate	推測した	True	hasPredicate	〇	〇	×
6	Obj	以下	False	判別不能	〇	〇	×
7	対象文	パーシィ・トリヴェリアンは33,4歳以下である			〇	〇	無
7	Who	パーシィ・トリヴェリアン	True		〇	〇	無
7	hasPredicate	33,4歳以下である	True	hasProperty	〇	〇	無
8	対象文	ワトソンは以下を思った			〇	〇	×
8	Who	ワトソン	True		〇	〇	×
8	hasPredicate	思った	True	hasPredicate	〇	〇	×
8	Obj	以下	False	判別不能	〇	〇	×
9	対象文	パーシィ・トリヴェリアンの表情はやつれている			〇	〇	無
9	Who	パーシィ・トリヴェリアンの表情	True		〇	〇	無
9	hasPredicate	やつれている	True	hasProperty	〇	〇	無
10	対象文	パーシィ・トリヴェリアンの顔色は悪い			〇	〇	無
10	Who	パーシィ・トリヴェリアンの顔色	True		〇	〇	無
10	hasPredicate	悪い	True	hasProperty	〇	〇	無
11	対象文	パーシィ・トリヴェリアンは力を搾り取られた			〇	〇	〇
11	Who	パーシィ・トリヴェリアン	True		〇	〇	〇
11	hasPredicate	搾り取られた	True	hasPredicate	〇	〇	〇
11	Obj	力	True	What	〇	〇	〇
12	対象文	パーシィ・トリヴェリアンは若さを奪われた			〇	〇	〇
12	Who	パーシィ・トリヴェリアン	True		〇	〇	〇
12	hasPredicate	奪われた	True	hasPredicate	〇	〇	〇
12	Obj	若さ	True	What	〇	〇	〇
13	対象文	パーシィ・トリヴェリアンは神経質である			〇	〇	無
13	Who	パーシィ・トリヴェリアン	True		〇	〇	無
13	hasPredicate	神経質である	True	hasProperty	〇	〇	無
14	対象文	パーシィ・トリヴェリアンは居場所がない様子である			〇	〇	無
14	Who	パーシィ・トリヴェリアン	True		〇	〇	無
14	hasPredicate	居場所がない様子である	True	hasProperty	〇	〇	無
15	対象文	パーシィ・トリヴェリアンの手は白い			〇	〇	無
15	Who	パーシィ・トリヴェリアンの手	True		〇	〇	無
15	hasPredicate	白い	True	hasProperty	〇	〇	無
16	対象文	パーシィ・トリヴェリアンは医者のようでは無い			〇	〇	無
16	Who	パーシィ・トリヴェリアン	True		〇	〇	無
16	hasPredicate	医者のようでは無い	True	hasProperty	〇	〇	無
17	対象文	パーシィ・トリヴェリアンは芸術家に見える			〇	×	×
17	Who	パーシィ・トリヴェリアン	True		〇	×	×
17	hasPredicate	見える	False		〇	×	×
17	Obj	芸術家	False	判別不能	〇	×	×
18	対象文	パーシィ・トリヴェリアンの服装は地味である			〇	〇	無
18	Who	パーシィ・トリヴェリアンの服装	True		〇	〇	無
18	hasPredicate	地味である	True	hasProperty	〇	〇	無
19	対象文	パーシィ・トリヴェリアンは黒いフロック・コートを着ている			〇	〇	〇
19	Who	パーシィ・トリヴェリアン	True		〇	〇	〇
19	hasPredicate	着ている	True	hasProperty	〇	〇	〇
19	Obj	黒いフロック・コート	True	What	〇	〇	〇
20	対象文	パーシィ・トリヴェリアンは黒めのズボンを履いている			〇	〇	〇
20	Who	パーシィ・トリヴェリアン	True		〇	〇	〇
20	hasPredicate	履いている	True	hasProperty	〇	〇	〇
20	Obj	黒めのズボン	True	What	〇	〇	〇
21	対象文	パーシィ・トリヴェリアンはわずかに色のあるネクタイを着けている			〇	×	×
21	Who	パーシィ・トリヴェリアン	True		〇	×	×
21	hasPredicate	わずかに色のあるネクタイを着けている	False		〇	×	×
21	Obj	色のあるネクタイ	False	判別不能	〇	×	×
22	対象文	パーシィ・トリヴェリアンはホームズとワトソンに名前を告げた			〇	〇	〇
22	Who	パーシィ・トリヴェリアン	True		〇	〇	〇
22	hasPredicate	告げた	True	hasPredicate	〇	〇	〇
22	Obj	ホームズ	True	To	〇	〇	〇
22	Obj	ワトソン	True	To	〇	〇	〇
22	Obj	名前	True	What	〇	〇	〇
23	対象文	パーシィ・トリヴェリアンはブルックリン街四〇三番地に住んでいる			〇	〇	〇
23	Who	パーシィ・トリヴェリアン	True		〇	〇	〇
23	hasPredicate	住んでいる	True	hasPredicate	〇	〇	〇
