ID	Property	原文	正誤判定	正解Propertyの詳細	場面内の主語	場面内の述語	場面内の目的語
1	対象文	白銀号の失踪とジョン・ストレーカーの殺人事件はダートムアのキングス・パイランドで起きた			〇	〇	×
1	Who	白銀号の失踪	True		〇	〇	×
1	Who	ジョン・ストレーカーの殺人事件	True		〇	〇	×
1	hasPredicate	起きた	True	hasPredicate	〇	〇	×
1	Obj	ダートムアのキングス・パイランド	False	判別不能	〇	〇	×
2	対象文	白銀号の行方は知れないわけがない			〇	×	無
2	Who	白銀号の行方	True		〇	×	無
2	hasPredicate	白銀号の行方は知れないわけがない	False		〇	×	無
3	対象文	白銀号はアイソノミ系の馬である			〇	〇	無
3	Who	白銀号	True		〇	〇	無
3	hasPredicate	アイソノミ系の馬である	True	hasProperty	〇	〇	無
4	対象文	白銀号は立派な記録を持っている			〇	〇	〇
4	Who	白銀号	True		〇	〇	〇
4	hasPredicate	持っている	True	hasPredicate	〇	〇	〇
4	Obj	立派な記録	True	What	〇	〇	〇
5	対象文	白銀号は五歳である			〇	〇	無
5	Who	白銀号	True		〇	〇	無
5	hasPredicate	五歳である	True	hasProperty	〇	〇	無
6	対象文	白銀号は競馬で全ての賞品を獲得した			〇	〇	〇
6	Who	白銀号	True		〇	〇	〇
6	hasPredicate	獲得した	True	hasPredicate	〇	〇	〇
6	Obj	競馬	True	Where	〇	〇	〇
6	Obj	全ての賞品	True	what	〇	〇	〇
7	対象文	ロス大佐は白銀号を所持している			〇	〇	〇
7	Who	ロス大佐	True		〇	〇	〇
7	hasPredicate	所持している	True	hasPredicate	〇	〇	〇
7	Obj	白銀号	True	what	〇	〇	〇
8	対象文	ロス大佐は白銀号を非常にうまく利用している			〇	×	〇
8	Who	ロス大佐	True		〇	×	〇
8	hasPredicate	非常にうまく利用している	False		〇	×	〇
8	Obj	白銀号	True	what	〇	×	〇
9	対象文	白銀号はウェセクス賞杯戦の一番人気の馬である			〇	×	無
9	Who	白銀号	True		〇	×	無
9	hasPredicate	ウェセクス賞杯戦の一番人気の馬である	False		〇	×	無
10	対象文	白銀号は高いオッズを持つ			〇	〇	〇
10	Who	白銀号	True		〇	〇	〇
10	hasPredicate	持つ	True	hasPredicate	〇	〇	〇
10	Obj	高いオッズ	True	What	〇	〇	〇
11	対象文	白銀号は競馬界で人気を保持し続ける			〇	〇	〇
11	Who	白銀号	True		〇	〇	〇
11	hasPredicate	保持し続ける	True	hasPredicate	〇	〇	〇
11	Obj	競馬界	True	Where	〇	〇	〇
11	Obj	人気	True	What	〇	〇	〇
12	対象文	白銀号は期待に答えてきた			〇	×	×
12	Who	白銀号	True		〇	×	×
12	hasPredicate	答えてきた	False		〇	×	×
12	Obj	期待	False	判別不能	〇	×	×
13	対象文	白銀号の掛け金は高い			×	〇	無
13	Who	白銀号の掛け金	False		×	〇	無
13	hasPredicate	高い	True	hasProperty	×	〇	無
14	対象文	白銀号は莫大な金を賭けられた			〇	〇	×
14	Who	白銀号	True		〇	〇	×
14	hasPredicate	賭けられた	True	hasPredicate	〇	〇	×
14	Obj	莫大な金	False	判別不能	〇	〇	×
15	対象文	白銀号の失踪は非常に大きな利害関係を持つ			〇	〇	×
15	Who	白銀号の失踪	True		〇	〇	×
15	hasPredicate	持つ	True	hasPredicate	〇	〇	×
15	Obj	非常に大きな利害関係	False	判別不能	〇	〇	×
16	対象文	ジョン・ストレーカーは男である			〇	〇	無
16	Who	ジョン・ストレーカー	True		〇	〇	無
16	hasPredicate	男である	True	hasProperty	〇	〇	無
17	対象文	ジョン・ストレーカーはロス大佐の騎士を7年間やっていた			〇	〇	×
17	Who	ジョン・ストレーカー	True		〇	〇	×
17	hasPredicate	やっていた	True	hasPredicate	〇	〇	×
17	Obj	ロス大佐の騎士	False	判別不能	〇	〇	×
17	Obj	7年間	False	判別不能	〇	〇	×
18	対象文	ジョン・ストレーカーは太ったので騎手をやめた			〇	×	〇
18	Who	ジョン・ストレーカー	True		〇	×	〇
18	hasPredicate	太ったので騎手をやめた	False		〇	×	〇
18	Obj	騎手	True	What	〇	×	〇
19	対象文	ジョン・ストレーカーはロス大佐の調馬師をやっている			〇	〇	〇
19	Who	ジョン・ストレーカー	True		〇	〇	〇
19	hasPredicate	やっている	True	hasPredicate	〇	〇	〇
19	Obj	ロス大佐の調馬師	True	How	〇	〇	〇
20	対象文	ジョン・ストレーカーは熱心で正直に働く			〇	×	無
20	Who	ジョン・ストレーカー	True		〇	×	無
20	hasPredicate	熱心で正直に働く	False		〇	×	無
21	対象文	ジョン・ストレーカーは小さな調馬上で４頭の馬を調馬している			〇	×	×
21	Who	ジョン・ストレーカー	True		〇	×	×
21	hasPredicate	している	False		〇	×	×
21	Obj	小さな調馬上	False	判別不能	〇	×	×
21	Obj	４頭の馬を調馬	False	判別不能	〇	×	×
22	対象文	ジョン・ストレーカーはネッド・ハンターと２人の若者を起用している			〇	〇	×
22	Who	ジョン・ストレーカー	True		〇	〇	×
22	hasPredicate	起用している	True	hasPredicate	〇	〇	×
