	正解数	総数	割合
主語	399	424	0.9410377358490566
述語	296	397	0.6981132075471698
目的語	268	438	0.6118721461187214
全単語	963	1259	0.7648927720413026
全場面	182	397	0.45843828715365237
Why	3	35	0.08571428571428572
What	145	270	0.5370370370370371
How	4	35	0.11428571428571428
When	6	63	0.09523809523809523
Where	27	38	0.7105263157894737
Whom	0	0	該当なし
From	6	13	0.46153846153846156
To	64	80	0.8
On	6	13	0.46153846153846156
Under	0	0	該当なし
Left	0	0	該当なし
Right	0	0	該当なし
Near	3	11	0.2727272727272727
NextTo	0	0	該当なし
MiddleOf	0	0	該当なし
Opposite	0	0	該当なし
hasProperty	36	52	0.6923076923076923
hasPredicate	260	345	0.7536231884057971
